Province_State,Confirmed,Deaths,Recovered,Active,Debt,PerCapita,Pop,StateDebt,LocalDebt,State and Local Debt,Gross State Product,Real State Growth %,Population (million)
Alabama,57255,1164,25783,30308,8772871,1787,4908621,4.81,11.8,16.61,239.5,1.5,4.9
Alaska,1579,17,642,920,5921713,8068,734002,10.57,6.29,16.86,56.5,1.7,0.7
Arizona,128097,2337,15678,110082,14291349,1937,7378494,3.42,7.86,11.28,381.8,2,7.4
Arkansas,29812,331,22844,6637,4801939,1580,3038999,5.63,11.79,17.42,137.7,1.2,3
California,346211,7250,,338961,152772292,3825,39937489,4.4,9.06,13.45,"3,262.40",1.7,39.6
Colorado,37668,1738,4808,31122,16980689,2905,5845526,4.79,11.36,16.15,406.6,2.3,5.8
Connecticut,47530,4372,8351,34807,38756156,10877,3563077,14.64,4.23,18.87,295.2,1.1,3.6
Delaware,12969,518,7184,5267,4561576,4641,982895,7.74,4.31,12.06,77.5,0.7,1
Florida,291629,4409,,287220,28823847,1311,21992985,0,10.64,10.64,151.4,1.1,0.7
Georgia,123963,3054,,120909,13050862,1216,10736059,2.3,8.44,10.73,"1,140.50",1.8,21.7
Hawaii,1264,22,911,331,9656278,6835,1412687,2.18,7.48,9.66,638.7,1.3,10.7
Idaho,11720,103,3262,8355,3369178,1845,1826156,10.27,6.74,17.02,100.6,0.8,1.4
Illinois,156638,7419,,149219,61821319,4883,12659682,4.29,3.42,7.71,84.3,1.8,1.8
Indiana,52685,2775,39155,10755,21842716,3238,6745354,8.36,12.5,20.86,927.6,1.1,12.6
Iowa,35866,757,26952,8157,6149694,1934,3179849,5.83,6.93,12.76,388,0.7,6.8
Kansas,19887,299,920,18668,7538475,2590,2910357,3.27,7.03,10.3,200.3,0.7,3.2
Kentucky,20223,635,5389,14199,14403514,3201,4499692,3.07,8.45,11.52,178.2,0.7,2.9
Louisiana,82042,3445,46334,32263,18092508,3895,4645184,6.85,14.43,21.27,221.3,0.8,4.5
Maine,3566,114,3062,390,4750384,3530,1345790,6.87,6.91,13.78,271.1,0.9,4.6
Maryland,74260,3334,5238,65688,28027363,4607,6083116,6.93,4.53,11.45,70,1.3,1.3
Massachusetts,112130,8340,94347,9443,77043165,11043,6976597,6.42,6.04,12.47,443.2,1.1,6.1
Michigan,77864,6326,53867,17671,33463604,3331,10045029,13.31,3.53,16.83,619,1.6,6.9
Minnesota,43170,1548,37749,3873,16363418,2870,5700671,6.15,7.09,13.24,557,0.6,10
Mississippi,37542,1272,25932,10338,7470178,2499,2989260,4.39,9.83,14.22,392.8,1,5.7
Missouri,29240,1114,,28126,18419751,2986,6169270,5.72,5.43,11.15,122.6,1,3
Montana,1952,34,884,1034,2795614,2572,1086759,5.01,7.81,12.83,344.2,1.4,6.2
Nebraska,21717,286,16025,5406,2014523,1032,1952570,4.99,4.51,9.5,53.9,1.4,1.1
Nevada,29619,612,800,28207,3248814,1035,3139658,1.65,11.46,13.11,130.4,0.5,1.9
New Hampshire,6091,392,5056,643,7739447,5644,1371246,2.05,15.18,17.24,184.9,1.9,3.1
New Jersey,175915,15582,31318,129015,65874095,7371,8936574,8.52,2.94,11.46,92.2,1.8,1.4
New Mexico,15514,551,6363,8600,7057656,3366,2096640,9.9,4.82,14.72,666.7,1,8.9
New York,403175,32408,71692,299075,139234923,7162,19440469,7.19,8.91,16.1,107.5,2.4,2.1
North Carolina,90000,1571,67124,21305,16310177,1537,10611862,9.16,13.79,22.95,"1,791.70",1.2,19.4
North Dakota,4493,88,3685,720,2885664,3788,761723,2.32,4.42,6.75,609.7,1.5,10.6
Ohio,67995,3069,46282,18644,33493235,2851,11747694,5.74,10.15,15.89,58.3,1.5,0.8
Oklahoma,21740,428,16635,4677,8457322,2138,3954821,4.05,6.54,10.6,720.8,1.2,11.7
Oregon,12805,244,3129,9432,12656643,2943,4301089,4.66,5.65,10.31,210.7,1.6,4
Pennsylvania,101266,6931,74436,19899,47519575,3706,12820878,6.18,10.78,16.96,262,1.8,4.3
South Carolina,60389,993,23849,35547,8932377,8457,1056161,6.22,9.89,16.11,842.1,1.5,12.8
South Dakota,7572,109,6599,864,15744638,3022,5210095,5.18,7.8,12.98,257.1,2,5.2
Tennessee,66788,767,38272,27749,3527703,3907,903027,7.54,5.81,13.35,54.7,0.6,0.9
Texas,279577,3362,142398,133817,6127422,888,6897576,1.73,10.56,12.28,394.7,1.5,6.9
Utah,30478,226,18111,12141,50963262,1729,29472295,2.72,12.67,15.39,"1,962.40",2.8,29.4
Vermont,1305,56,1099,150,7453346,2271,3282115,3.75,6.69,10.44,197.3,2.4,3.3
Virgin Islands,206,6,96,104,3502960,5577,628061,10.37,3.69,14.06,36.2,1.6,0.6
Virginia,72443,1977,9423,61043,27825929,3226,8626207,5.48,7.51,12.99,574.1,1.3,8.6
Washington,42304,1404,,40900,33427752,4287,7797095,5.66,9.33,14.99,628.3,2.4,7.7
West Virginia,4407,97,2982,1328,7547010,4244,1778070,12.65,6.31,18.96,79.6,0.7,1.8
Wisconsin,37906,826,29275,7805,23252381,3974,5851754,6.28,6.24,12.52,358.3,1,5.8
Wyoming,1950,22,1462,466,769721,1357,567025,2.33,3.66,6,40.5,2.1,0.6
