Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2000,119.242,26.7783,164.612,68.77,1366.56,180.606,165.899,43.3894,61.0955,489.488,307.612,41.5002,37.9928,487.213,203.053,93.0286,85.8532,114.293,132.81,36.841,192.106,289.926,351.573,189.965,65.6459,187.297,21.8852,56.5037,76.6271,45.2255,362.007,55.2329,838.66,275.694,17.9761,391.138,90.7927,117.258,407.653,34.5164,115.247,22.6907,181.63,738.871,70.2918,18.3119,266.886,237.832,42.6069,180.539,17.2054
2001,122.449,28.4204,171.474,70.6014,1384.11,187.572,173.127,46.4483,65.5659,516.69,318.753,42.8943,37.3841,502.26,204.581,94.7708,88.3804,117.431,137.845,38.5008,205.45,296.834,348.529,194.646,67.0286,191.199,22.8517,59.467,80.4266,46.6297,373.756,55.9862,877.149,288.684,18.9196,395.622,96.767,117.275,424.965,35.9921,119.301,23.5128,185.775,773.007,73.226,19.2741,284.002,239.426,43.9776,187.939,18.6607
2002,127.792,29.6053,179.413,73.9504,1436.43,190.963,176.208,45.7579,70.0547,548.54,326.93,45.4471,38.7153,514.064,212.43,98.9761,90.9493,122.193,139.538,40.1837,218.299,303.967,362.271,202.766,68.8658,196.598,23.8805,61.6044,84.7335,48.6785,388.338,58.0555,886.793,298.11,20.209,411.967,99.163,121.23,436.986,38.1321,124.16,26.3375,195.289,787.258,75.9988,20.1633,293.276,248.189,45.4337,194.813,19.1156
2003,133.739,31.7997,192.751,78.2188,1527.29,196.484,181.34,47.7616,74.0903,583.726,340.411,48.9291,40.3418,529.455,223.495,105.074,94.6035,126.971,154.362,41.8385,228.69,315.3,373.839,215.156,73.3322,204.01,25.6376,66.4156,90.7788,51.3784,405.198,62.8959,905.281,309.318,22.0774,424.916,105.243,127.212,455.107,40.2728,130.337,27.445,203.834,829.764,79.1491,21.1301,309.981,258.263,46.6679,203.135,21.0275
2004,146.525,34.9707,205.421,84.6245,1632.22,203.98,198.662,51.4494,80.4713,635.526,364.255,53.7618,43.739,558.748,236.936,116.652,97.6764,134.194,169.873,44.5263,246.762,330.67,381.229,230.282,77.2144,214.218,27.9392,70.2888,104.421,54.1267,422.889,69.7407,955.192,328.038,23.1678,445.541,113.149,136.238,481.739,43.2456,135.16,29.6289,218.021,906.321,85.7019,22.666,332.251,270.115,49.2717,215.139,23.1867
2005,155.97,39.7748,228.231,89.61,1753.87,219.908,208.766,52.1541,85.3049,696.741,386.785,58.6679,47.9629,586.694,243.738,122.224,103.937,142.649,197.566,45.8748,265.93,345.586,394.229,242.863,80.9957,223.497,30.5297,73.959,117.856,56.3521,440.774,73.6842,1015.05,352.394,24.4173,465.809,124.563,143.663,505.585,45.1624,142.617,30.6594,228.099,986.401,94.1949,23.5093,360.3,296.101,53.259,225.698,27.1776
2006,163.854,44.4353,248.231,94.3845,1874.74,231.206,222.889,55.0674,88.5172,744.464,402.145,62.365,50.9763,621.86,255.055,126.884,112.65,151.007,205.8,47.9211,279.468,361.266,395.451,249.735,85.869,231.772,32.9333,78.15,127.576,59.4116,464.459,77.4261,1071.39,383.522,26.12,477.18,137.084,155.153,526.396,47.7118,150.659,31.8986,240.194,1085.29,106.124,24.3098,379.129,317.167,56.53,235.709,32.4051
2007,169.678,48.9726,262.322,96.9482,1955.86,246.044,237.543,56.2785,93.97,768.661,415.132,65.2335,53.8521,647.862,269.054,136.977,122.453,154.532,206.641,49.1486,287.873,379.877,403.736,258.827,91.0576,240.159,36.0741,83.1228,131.6,60.7327,480.539,80.5728,1108.9,396.348,28.6797,490.965,144.893,161.512,560.753,47.8456,159.362,34.7016,244.252,1178.58,114.653,24.6968,392.917,346.443,58.6358,243.767,36.6025
2008,172.687,54.7524,259.367,98.9553,1990.68,255.567,240.911,54.7875,99.4785,750.502,412.912,66.8647,55.546,646.367,272.846,136.554,127.682,158.099,215.069,49.9738,296.435,388.583,386.054,264.688,96.8436,250.581,36.8625,85.2006,129.372,60.9187,495.122,83.7242,1099.23,413.363,31.7221,495.743,159.66,165.189,582.24,47.1078,161.805,36.6685,251.609,1237.39,115.985,25.678,399.032,355.678,62.0667,244.76,42.5404
2009,168.348,49.5859,243.929,97.0589,1920.06,248.594,236.393,56.8712,100.895,724.582,407.024,65.692,53.775,644.69,261.238,136.251,124.341,155.78,206.885,50.5565,302.507,391.265,365.592,259.959,93.2056,251.78,35.9839,86.8303,121.11,61.9374,486.513,82.0174,1152.81,406.477,32.0025,480.322,145.736,160.641,577.38,47.9014,159.836,36.1931,250.544,1163.4,113.333,25.8678,408.919,353.632,62.9578,245.539,36.0422
2010,174.753,52.8825,248.21,101.69,1974.61,255.14,237.653,57.4474,106.12,737.791,416.884,68.1969,55.1707,662.638,280.121,141.482,127.745,164.606,225.677,51.7107,316.452,409.762,386.626,271.821,95.2084,258.544,38.0546,91.8128,123.598,64.1516,495.149,83.9892,1213.95,415.206,35.4263,497.208,152.911,163.828,599.313,49.5718,163.857,37.4844,255.936,1237.2,117.96,27.1084,422.902,365.552,65.2741,254.354,37.4012
2011,181.35,56.2599,257.948,106.085,2050.06,264.432,236.524,60.3574,110.076,746.788,429.574,70.4826,56.4881,688.289,288.749,147.227,135.315,169.941,228.988,51.8667,328.058,425.593,401.105,283.807,96.3716,260.094,40.5793,99.6134,126.657,65.4305,499.115,86.625,1236.06,427.206,41.1792,525.388,165.036,170.621,618.988,50.1759,170.087,41.5415,267.659,1331.22,124.539,28.1351,432.393,379.539,68.5249,263.882,39.3707
2012,186.299,57.6701,268.289,108.745,2144.5,273.52,243.801,61.9758,112.736,769.309,444.132,73.5827,57.7644,720.702,297.553,157.251,140.478,176.302,233.623,52.874,334.822,444.33,418.857,294.297,99.6146,268.762,42.0058,102.269,128.043,67.6892,519.746,87.6016,1322.45,439.571,51.3451,540.819,173.484,174.493,641.317,51.642,175.375,43.4446,283.722,1411.38,128.721,28.8874,444.95,400.863,69.399,274.344,38.4317
